OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Region,Sales,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude,ShippingDelay,OrderMonth,OrderYear
2011-01-04,Office Supplies,Houston,United States,Darren Powers,0.2,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book",6,2,Central,16,Consumer,2011-01-08,Standard Class,Texas,Paper,4,22,Shipped Early,6,,16.45,0.375,,29.8941,-95.6481,-2,1,2011
2011-01-05,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,Avery 508,4,3,Central,12,Home Office,2011-01-09,Standard Class,Illinois,Labels,4,15,Shipped Early,6,,11.78,0.3333333333333333,,41.7662,-88.141,-2,1,2011
2011-01-05,Office Supplies,Naperville,United States,Phillina Ober,0.8,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,-5,2,Central,4,Home Office,2011-01-09,Standard Class,Illinois,Binders,4,5,Shipped Early,6,,3.54,-1.25,,41.7662,-88.141,-2,1,2011
2011-01-05,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,-65,3,Central,273,Home Office,2011-01-09,Standard Class,Illinois,Storage,4,357,Shipped Early,6,,272.74,-0.23809523809523808,,41.7662,-88.141,-2,1,2011
2011-01-06,Office Supplies,Philadelphia,United States,Mick Brown,0.2,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,3,East,20,Consumer,2011-01-13,Standard Class,Pennsylvania,Art,7,26,Shipped Late,6,,19.54,0.25,,39.9448,-75.2288,1,1,2011
2011-01-07,Furniture,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,Global Deluxe High-Back Managers Chair,746,9,South,2574,Home Office,2011-01-11,Standard Class,Kentucky,Chairs,4,3373,Shipped Early,6,,2573.82,0.2898212898212898,,37.8274,-87.5632,-2,1,2011
2011-01-07,Office Supplies,Athens,United States,Jack OBriant,0.0,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5,3,South,13,Corporate,2011-01-08,First Class,Georgia,Art,1,17,Shipped On Time,1,,12.78,0.38461538461538464,,33.9321,-83.3525,0,1,2011
2011-01-07,Office Supplies,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",0,4,South,31,Home Office,2011-01-11,Standard Class,Kentucky,Fasteners,4,41,Shipped Early,6,,31.12,0.0,,37.8274,-87.5632,-2,1,2011
2011-01-07,Office Supplies,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,274,2,South,610,Home Office,2011-01-11,Standard Class,Kentucky,Binders,4,799,Shipped Early,6,,609.98,0.4491803278688525,,37.8274,-87.5632,-2,1,2011
2011-01-07,Office Supplies,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,1,2,South,5,Home Office,2011-01-11,Standard Class,Kentucky,Art,4,7,Shipped Early,6,,5.48,0.2,,37.8274,-87.5632,-2,1,2011
2011-01-07,Office Supplies,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,3,1,South,7,Home Office,2011-01-11,Standard Class,Kentucky,Paper,4,9,Shipped Early,6,,6.54,0.42857142857142855,,37.8274,-87.5632,-2,1,2011
2011-01-07,Office Supplies,Los Angeles,United States,Lycoris Saunders,0.0,CA-2011-130813,90049,Xerox 225,9,3,West,19,Consumer,2011-01-09,Second Class,California,Paper,2,25,Shipped Early,3,,19.44,0.47368421052631576,,34.066,-118.474,-1,1,2011
2011-01-07,Technology,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,GE 30524EE4,114,2,South,392,Home Office,2011-01-11,Standard Class,Kentucky,Phones,4,514,Shipped Early,6,,391.98,0.29081632653061223,,37.8274,-87.5632,-2,1,2011
2011-01-07,Technology,Henderson,United States,Maria Etezadi,0.0,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,204,4,South,756,Home Office,2011-01-11,Standard Class,Kentucky,Phones,4,991,Shipped Early,6,,755.96,0.2698412698412698,,37.8274,-87.5632,-2,1,2011
2011-01-08,Furniture,Huntsville,United States,Vivek Sundaresam,0.6,CA-2011-105417,77340,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,-54,3,Central,77,Consumer,2011-01-13,Standard Class,Texas,Furnishings,5,101,Shipped Early,6,,76.73,-0.7012987012987013,,30.6448,-95.5798,-1,1,2011
2011-01-08,Office Supplies,Huntsville,United States,Vivek Sundaresam,0.8,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1",-18,7,Central,10,Consumer,2011-01-13,Standard Class,Texas,Binders,5,14,Shipped Early,6,,10.43,-1.8,,30.6448,-95.5798,-1,1,2011
2011-01-10,Office Supplies,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,Newell 312,1,2,Central,9,Consumer,2011-01-14,Standard Class,Texas,Art,4,12,Shipped Early,6,,9.34,0.1111111111111111,,27.5569,-99.4907,-2,1,2011
2011-01-10,Technology,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,10,3,Central,31,Consumer,2011-01-14,Standard Class,Texas,Accessories,4,41,Shipped Early,6,,31.2,0.3225806451612903,,27.5569,-99.4907,-2,1,2011
2011-01-11,Furniture,Springfield,United States,Anthony Jacobs,0.0,CA-2011-149020,22153,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,21,1,South,52,Corporate,2011-01-16,Standard Class,Virginia,Furnishings,5,68,Shipped Early,6,,51.94,0.40384615384615385,,38.7449,-77.237,-1,1,2011
2011-01-11,Office Supplies,Springfield,United States,Anthony Jacobs,0.0,CA-2011-149020,22153,Avery 482,1,1,South,3,Corporate,2011-01-16,Standard Class,Virginia,Labels,5,4,Shipped Early,6,,2.89,0.3333333333333333,,38.7449,-77.237,-1,1,2011
2011-01-12,Furniture,Dover,United States,Seth Vernon,0.0,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",3,2,East,10,Consumer,2011-01-15,First Class,Delaware,Furnishings,3,13,Shipped Late,1,,9.94,0.3,,39.1564,-75.4955,2,1,2011
2011-01-14,Furniture,Mount Pleasant,United States,Natalie DeCherney,0.0,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,87,6,South,546,Consumer,2011-01-17,Second Class,South Carolina,Chairs,3,715,Shipped On Time,3,,545.94,0.15934065934065933,,32.8473,-79.8206,0,1,2011
2011-01-14,Furniture,San Francisco,United States,Brian Dahlen,0.15,CA-2011-157147,94109,"OSullivan Elevations Bookcase, Cherry Finish",4,3,West,334,Consumer,2011-01-19,Standard Class,California,Bookcases,5,438,Shipped Early,6,,334.0,0.011976047904191617,,37.7917,-122.4186,-1,1,2011
2011-01-14,Office Supplies,Bossier City,United States,Chris Selesnick,0.0,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,25,3,South,51,Corporate,2011-01-16,Second Class,Louisiana,Envelopes,2,67,Shipped Early,3,,50.94,0.49019607843137253,,32.5449,-93.7038,-1,1,2011
2011-01-14,Office Supplies,Bossier City,United States,Chris Selesnick,0.0,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,6,South,573,Corporate,2011-01-16,Second Class,Louisiana,Storage,2,750,Shipped Early,3,,572.58,0.059336823734729496,,32.5449,-93.7038,-1,1,2011
2011-01-14,Office Supplies,Bossier City,United States,Chris Selesnick,0.0,CA-2011-162775,71111,Staples,5,2,South,11,Corporate,2011-01-16,Second Class,Louisiana,Envelopes,2,15,Shipped Early,3,,11.36,0.45454545454545453,,32.5449,-93.7038,-1,1,2011
2011-01-14,Office Supplies,Bossier City,United States,Chris Selesnick,0.0,CA-2011-162775,71111,Staples,3,3,South,6,Corporate,2011-01-16,Second Class,Louisiana,Binders,2,7,Shipped Early,3,,5.64,0.5,,32.5449,-93.7038,-1,1,2011
2011-01-14,Office Supplies,Newark,United States,Michael Moore,0.7,CA-2011-118192,43055,Avery Metallic Poly Binders,-3,2,East,3,Consumer,2011-01-19,Standard Class,Ohio,Binders,5,5,Shipped Early,6,,3.44,-1.0,,40.0724,-82.4046,-1,1,2011
2011-01-14,Office Supplies,Newark,United States,Michael Moore,0.2,CA-2011-118192,43055,Xerox 1923,13,7,East,37,Consumer,2011-01-19,Standard Class,Ohio,Paper,5,49,Shipped Early,6,,37.41,0.35135135135135137,,40.0724,-82.4046,-1,1,2011
2011-01-14,Office Supplies,San Francisco,United States,Brian Dahlen,0.0,CA-2011-157147,94109,4009 Highlighters by Sanford,7,5,West,20,Consumer,2011-01-19,Standard Class,California,Art,5,26,Shipped Early,6,,19.9,0.35,,37.7917,-122.4186,-1,1,2011
2011-01-14,Office Supplies,San Francisco,United States,Brian Dahlen,0.0,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,239,5,West,1326,Consumer,2011-01-19,Standard Class,California,Storage,5,1737,Shipped Early,6,,1325.85,0.18024132730015083,,37.7917,-122.4186,-1,1,2011
2011-01-14,Technology,Bossier City,United States,Chris Selesnick,0.0,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,259,6,South,647,Corporate,2011-01-16,Second Class,Louisiana,Accessories,2,847,Shipped Early,3,,646.74,0.40030911901081917,,32.5449,-93.7038,-1,1,2011
2011-01-15,Furniture,Philadelphia,United States,Brendan Sweed,0.5,CA-2011-149524,19140,Sauder Cornerstone Collection Library,-53,4,East,62,Corporate,2011-01-16,First Class,Pennsylvania,Bookcases,1,81,Shipped On Time,1,,61.96,-0.8548387096774194,,40.0118,-75.1456,0,1,2011
2011-01-16,Technology,Roswell,United States,Erica Hackney,0.0,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,66,5,South,150,Consumer,2011-01-18,First Class,Georgia,Accessories,2,196,Shipped Late,1,,149.95,0.44,,34.0213,-84.3104,1,1,2011
2011-01-17,Furniture,Philadelphia,United States,Delfina Latchford,0.2,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,29,6,East,127,Consumer,2011-01-19,Second Class,Pennsylvania,Furnishings,2,167,Shipped Early,3,,127.1,0.2283464566929134,,39.9925,-75.1133,-1,1,2011
2011-01-17,Office Supplies,Philadelphia,United States,Delfina Latchford,0.7,CA-2011-115791,19134,GBC Linen Binding Covers,-14,2,East,19,Consumer,2011-01-19,Second Class,Pennsylvania,Binders,2,24,Shipped Early,3,,18.59,-0.7368421052631579,,39.9925,-75.1133,-1,1,2011
2011-01-17,Office Supplies,Philadelphia,United States,Delfina Latchford,0.2,CA-2011-115791,19134,Round Specialty Laser Printer Labels,10,3,East,30,Consumer,2011-01-19,Second Class,Pennsylvania,Labels,2,39,Shipped Early,3,,30.07,0.3333333333333333,,39.9925,-75.1133,-1,1,2011
2011-01-17,Technology,Philadelphia,United States,Delfina Latchford,0.4,CA-2011-115791,19134,AT&T 841000 Phone,-31,3,East,124,Consumer,2011-01-19,Second Class,Pennsylvania,Phones,2,163,Shipped Early,3,,124.2,-0.25,,39.9925,-75.1133,-1,1,2011
2011-01-19,Office Supplies,Springfield,United States,David Wiener,0.2,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,6,4,West,65,Corporate,2011-01-22,Second Class,Oregon,Appliances,3,85,Shipped On Time,3,,64.86,0.09230769230769231,,44.0611,-123.0153,0,1,2011
2011-01-20,Furniture,Scottsdale,United States,Toby Swindell,0.7,CA-2011-146591,85254,OSullivan 4-Shelf Bookcase in Odessa Pine,-321,5,West,181,Consumer,2011-01-21,First Class,Arizona,Bookcases,1,238,Shipped On Time,1,,181.47,-1.7734806629834254,,33.6165,-111.9554,0,1,2011
2011-01-20,Office Supplies,Scottsdale,United States,Toby Swindell,0.7,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-24,10,West,32,Consumer,2011-01-21,First Class,Arizona,Binders,1,42,Shipped On Time,1,,32.34,-0.75,,33.6165,-111.9554,0,1,2011
2011-01-20,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",20,4,West,56,Consumer,2011-01-21,First Class,Arizona,Paper,1,73,Shipped On Time,1,,56.06,0.35714285714285715,,33.6165,-111.9554,0,1,2011
2011-01-20,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",37,5,West,109,Consumer,2011-01-21,First Class,Arizona,Envelopes,1,142,Shipped On Time,1,,108.72,0.3394495412844037,,33.6165,-111.9554,0,1,2011
2011-01-21,Furniture,Jonesboro,United States,Hunter Lopez,0.0,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12,4,South,39,Consumer,2011-01-27,Standard Class,Arkansas,Furnishings,6,51,Shipped On Time,6,,38.6,0.3076923076923077,,35.833,-90.6965,0,1,2011
